Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1977-08-18,7.291222547490576,7.31505012512207,7.267394969859082,7.31505012512207,14940,0.0,0.0
1977-08-19,7.315053054903755,7.338880642078533,7.243570731426801,7.267397880554199,31566,0.0,0.0
1977-08-22,7.267392618219685,7.338875327983236,7.243565486345563,7.291220188140869,18313,0.0,0.0
1977-08-23,7.29122204907496,7.338877201080322,7.2673944730722795,7.338877201080322,13253,0.0,0.0
1977-08-24,7.338877201080322,7.362704777083003,7.29122204907496,7.338877201080322,13253,0.0,0.0
1977-08-25,7.338877201080322,7.362704777083003,7.315049625077641,7.338877201080322,12771,0.0,0.0
1977-08-26,7.362702779556027,7.481840189199863,7.362702779556027,7.45801305770874,37831,0.0,0.0
1977-08-29,7.458017755538653,7.529500071133079,7.458017755538653,7.481844902038574,18313,0.0,0.0
1977-08-30,7.481844902038574,7.505672924633157,7.481844902038574,7.481844902038574,53253,0.0,0.0
1977-08-31,7.481841935314658,7.553324222564697,7.481841935314658,7.553324222564697,26506,0.0,0.0
1977-09-01,7.5771522521972665,7.624807402499085,7.5771522521972665,7.577152252197266,26988,0.0,0.0
1977-09-02,7.624806365881644,7.696288643568964,7.624806365881644,7.67246150970459,17831,0.0,0.0
1977-09-06,7.672464359905279,7.696291502621065,7.624809198379185,7.648636341094971,32530,0.0,0.0
1977-09-07,7.648631572180046,7.720114707946778,7.6248044443204535,7.720114707946777,14940,0.0,0.0
1977-09-08,7.720114707946778,7.86307922729229,7.696286703993209,7.720114707946777,23133,0.0,0.0
1977-09-09,7.696288643568964,7.696288643568964,7.624806365881644,7.67246150970459,30120,0.0,0.0
1977-09-12,7.6486392780246195,7.6486392780246195,7.6009840981998575,7.624812126159668,25060,0.0,0.0
1977-09-13,7.624809198379185,7.672464359905279,7.553326018042782,7.648636341094971,34699,0.0,0.0
1977-09-14,7.648636341094971,7.672464359905279,7.600981179568876,7.648636341094971,20000,0.0,0.0
1977-09-15,7.6486392780246195,7.6486392780246195,7.624812126159668,7.624812126159668,35904,0.0,0.0
1977-09-16,7.624809198379185,7.648636341094971,7.624809198379185,7.648636341094971,47470,0.0,0.0
1977-09-19,7.6486392780246195,7.6486392780246195,7.6009840981998575,7.624812126159668,17590,0.0,0.0
1977-09-20,7.624812126159668,7.6486392780246195,7.577156946334905,7.624812126159668,34940,0.0,0.0
1977-09-21,7.624807402499085,7.672462552800905,7.553324238999199,7.577152252197266,105060,0.0,0.0
1977-09-22,7.577153321818811,7.577153321818811,7.481843007760784,7.50567102432251,58554,0.0,0.0
1977-09-23,7.505672924633157,7.505672924633157,7.458017755538653,7.481844902038574,9639,0.0,0.0
1977-09-26,7.48184022300841,7.48184022300841,7.386529944425014,7.41035795211792,28434,0.0,0.0
1977-09-27,7.410362235485851,7.458017402323384,7.338879485229553,7.386534214019775,27711,0.0,0.0
1977-09-28,7.3865319150385105,7.410359929088365,7.338877201080322,7.338877201080322,14458,0.0,0.0
1977-09-29,7.338875243180373,7.41035795211792,7.315047673534524,7.41035795211792,20000,0.0,0.0
1977-09-30,7.4103621744354395,7.434189319610596,7.362707007990514,7.434189319610596,21928,0.0,0.0
1977-10-03,7.458014798262749,7.553324222564697,7.458014798262749,7.553324222564697,22892,0.0,0.0
1977-10-04,7.553324222564697,7.600979372762829,7.434186785116526,7.553324222564697,23855,0.0,0.0
1977-10-05,7.553323327159461,7.577151337481003,7.505669058704797,7.529496192932129,17108,0.0,0.0
1977-10-06,7.529497101895447,7.624807402499085,7.505669964791695,7.577152252197266,67952,0.0,0.0
1977-10-07,7.5771522521972665,7.600979389301018,7.529497101895447,7.577152252197266,155663,0.0,0.0
1977-10-10,7.5771522521972665,7.600979389301018,7.553324238999199,7.577152252197266,7952,0.0,0.0
